"","pid","location","yearbuilt","totval","bedrooms","bathrooms","halfbaths","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","exval"
"14027",14027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14028",14028,"313 MANSFIELD ST","1905",372600,"6","3","0",78,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.14,"No Data for Extra Features"
"14029",14029,"426 PROSPECT ST","1920",987500,"0","0",NA,45,NA,NA,NA,7,NA,NA,NA,0.83,"No Data for Extra Features"
"14030",14030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14031",14031,"406 PROSPECT ST","1880",1585600,"0","0",NA,65,NA,NA,NA,15,NA,NA,NA,0.86,"No Data for Extra Features"
"14032",14032,"400 PROSPECT ST","1900",611400,"0","0",NA,50,NA,NA,NA,1,NA,NA,NA,0.55,"No Data for Extra Features"
"14033",14033,"386 PROSPECT ST","1956",2561900,"0","0",NA,65,NA,NA,NA,40,NA,NA,NA,1.7,"No Data for Extra Features"
"14034",14034,"360 PROSPECT ST","1878",7456200,"0","0",NA,69,NA,NA,NA,2,NA,NA,NA,4.67,"67900"
"14035",14035,"227 MANSFIELD ST","1900",563100,"0","0",NA,65,NA,NA,NA,1,NA,NA,NA,1.3,"No Data for Extra Features"
"14036",14036,"265 MANSFIELD ST","1900",626500,"0","0",NA,60,NA,NA,NA,2,NA,NA,NA,1.3,"No Data for Extra Features"
"14037",14037,"295 MANSFIELD ST","1965",3645000,"0","0",NA,70,NA,NA,NA,50,NA,NA,NA,1.65,"20900"
"14038",14038,"339 PROSPECT ST","1900",28058900,"0","0",NA,85.6666666666667,NA,NA,NA,3,NA,NA,NA,7.17,"59500"
"14039",14039,"12 SAINT RONAN TER","1900",841800,"6","5","0",68,"Colonial","Single Family","Superior -",1,"None","Average","Average",0.27,"3200"
"14040",14040,"9 SAINT RONAN TER","1900",1209200,"8","3","1",78,"Colonial","Single Family","Superior -",1,"None","Average","Average",0.42,"22000"
"14041",14041,"SAINT RONAN TER",NA,27800,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.19,"No Data for Extra Features"
"14042",14042,"5 SAINT RONAN TER","1903",1107300,"8","3","2",67,"Colonial","Single Family","Superior",1,"None","Average","Average",0.37,"3100"
"14043",14043,"258 SAINT RONAN ST","1915",869800,"6","2","1",68,"Colonial","Single Family","Superior -",1,"None","Average","Average",0.38,"3200"
"14044",14044,"240 SAINT RONAN ST","1914",1147700,"5","4","1",68,"Colonial","Single Family","Superior +",1,"None","Average","Average",0.35,"9600"
"14045",14045,"10 SAINT RONAN TER","1930",1036600,"4","4","1",78,"Colonial","Single Family","Superior",1,"None","Average","Average",0.32,"7300"
"14046",14046,"8 SAINT RONAN TER","1890",851100,"5","3","1",68,"Colonial","Single Family","Superior -",1,"Central","Average","Average",0.22,"6400"
"14047",14047,"6 SAINT RONAN TER","1912",917200,"7","3","2",68,"Colonial","Single Family","Superior -",1,"Central","Below Average","Below Average",0.38,"6400"
"14048",14048,"4 SAINT RONAN TER","1920",700500,"4","2","1",90,"Colonial","Single Family","Excellent +",1,"None","Average","Average",0.09,"8500"
"14049",14049,"224 SAINT RONAN ST","1891",1148100,"6","3","1",78,"Colonial","Single Family","Superior -",1,"None","Average","Average",0.72,"7300"
"14050",14050,"210 SAINT RONAN ST","1857",1310500,"8","3","1",90,"Colonial","Single Family","Excellent +",1,"Central","Average","Above Average",0.65,"8500"
"14051",14051,"216 SAINT RONAN ST","1989",803800,"3","4","0",82,"Contemporary","Single Family","Vg/Exc",1,"Central","Average","Average",0.6,"3900"
"14052",14052,"208 SAINT RONAN ST","1880",957800,"7","3","1",68,"Colonial","Single Family","Excellent +",1,"None","Average","Average",0.76,"3200"
"14053",14053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14054",14054,"190 SAINT RONAN ST","1900",990000,"7","5","1",78,"Colonial","Single Family","Excellent +",1,"Central","Average","Average",0.6,"7300"
"14055",14055,"176 SAINT RONAN ST","1920",1480300,"7","4","1",78,"Colonial","Single Family","Superior",1,"Central","Above Average","Above Average",0.86,"11000"
"14056",14056,"160 SAINT RONAN ST","1948",730400,"0","0",NA,60,NA,NA,NA,1,NA,NA,NA,0.53,"2000"
"14057",14057,"335 PROSPECT ST",NA,2878500,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,3.76,"No Data for Extra Features"
"14058",14058,"341 SAINT RONAN ST",NA,26200,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.11,"No Data for Extra Features"
"14059",14059,"341 SAINT RONAN ST",NA,26200,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.11,"No Data for Extra Features"
"14060",14060,"319 MANSFIELD ST","1900",381500,"6","3","0",78,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.14,"No Data for Extra Features"
"14061",14061,"325 MANSFIELD ST","1963",752500,"0","0",NA,65,NA,NA,NA,18,NA,NA,NA,0.23,"No Data for Extra Features"
"14062",14062,"460 PROSPECT ST",NA,425200,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,2.74,"No Data for Extra Features"
"14063",14063,"PROSPECT ST",NA,25600,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.09,"No Data for Extra Features"
"14064",14064,"329 MANSFIELD ST",NA,294800,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.32,"No Data for Extra Features"
"14065",14065,"436 PROSPECT ST","1900",617200,"6","6","0",63,"Apt House","Multi-Fam 5-12","Average",8,"None","Average","Average",0.39,"No Data for Extra Features"
"14066",14066,"440 PROSPECT ST #1","1900",138500,"1","1","0",80,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"14067",14067,"440 PROSPECT ST #2","1900",147200,"1","1","0",80,NA,NA,NA,1,"Central","Average","Average",0,"No Data for Extra Features"
"14068",14068,"440 PROSPECT ST #3","1900",143600,"1","1","0",80,NA,NA,NA,1,"Central","Average","Average",0,"3800"
