"pid","location","city","state","zip"
480,"424 FORT HALE RD","New Haven","CT",""
481,"408 FORT HALE RD","New Haven","CT",""
482,"400 FORT HALE RD","New Haven","CT",""
483,"386 FORT HALE RD","New Haven","CT",""
484,"368 FORT HALE RD","New Haven","CT",""
485,"FORT HALE RD","New Haven","CT",""
486,"350 FORT HALE RD","New Haven","CT",""
487,"340 FORT HALE RD","New Haven","CT",""
488,"330 FORT HALE RD","New Haven","CT",""
489,"320 FORT HALE RD","New Haven","CT",""
490,"306 FORT HALE RD","New Haven","CT",""
491,"294 FORT HALE RD","New Haven","CT",""
492,"280 FORT HALE RD","New Haven","CT",""
493,"270 FORT HALE RD","New Haven","CT",""
494,"260 FORT HALE RD","New Haven","CT",""
495,"581 TOWNSEND AV","New Haven","CT",""
496,"591 TOWNSEND AV","New Haven","CT",""
497,"106 HALL ST","New Haven","CT",""
498,"100 HALL ST","New Haven","CT",""
499,"94 HALL ST","New Haven","CT",""
500,"88 HALL ST","New Haven","CT",""
501,"82 HALL ST","New Haven","CT",""
502,"76 HALL ST","New Haven","CT",""
503,"72 HALL ST","New Haven","CT",""
504,"66 HALL ST","New Haven","CT",""
505,"60 HALL ST","New Haven","CT",""
506,"54 HALL ST","New Haven","CT",""
507,"46 HALL ST","New Haven","CT",""
508,"40 HALL ST","New Haven","CT",""
509,"34 HALL ST","New Haven","CT",""
510,"28 HALL ST","New Haven","CT",""
511,"22 HALL ST","New Haven","CT",""
512,"HALL ST","New Haven","CT",""
513,"8 HALL ST","New Haven","CT",""
514,"621 TOWNSEND AV","New Haven","CT",""
515,"635 TOWNSEND AV","New Haven","CT",""
516,"641 TOWNSEND AV","New Haven","CT",""
517,"49 TOWNSEND TER","New Haven","CT",""
518,"645 TOWNSEND AV","New Haven","CT",""
519,"655 TOWNSEND AV","New Haven","CT",""
520,"25 TOWNSEND TER","New Haven","CT",""
521,"33 TOWNSEND TER","New Haven","CT",""
522,"37 TOWNSEND TER","New Haven","CT",""
523,"43 TOWNSEND TER","New Haven","CT",""
524,"TOWNSEND TER","New Haven","CT",""
525,"51 TOWNSEND TER","New Haven","CT",""
526,"59 TOWNSEND TER","New Haven","CT",""
527,"65 TOWNSEND TER","New Haven","CT",""
528,"71 TOWNSEND TER","New Haven","CT",""
529,"77 TOWNSEND TER","New Haven","CT",""
530,"85 TOWNSEND TER","New Haven","CT",""
531,"91 TOWNSEND TER","New Haven","CT",""
532,"99 TOWNSEND TER","New Haven","CT",""
533,"105 TOWNSEND TER","New Haven","CT",""
534,"111 TOWNSEND TER","New Haven","CT",""
535,"220 HYDE ST","New Haven","CT",""
536,"15 TOLLI TER","New Haven","CT",""
537,"19 TOLLI TER","New Haven","CT",""
538,"27 TOLLI TER","New Haven","CT",""
539,"35 TOLLI TER","New Haven","CT",""
540,"43 TOLLI TER","New Haven","CT",""
541,"59 TOLLI TER","New Haven","CT",""
542,"52 TOLLI TER","New Haven","CT",""
543,"48 TOLLI TER","New Haven","CT",""
544,"40 TOLLI TER","New Haven","CT",""
545,"30 TOLLI TER","New Haven","CT",""
546,"20 TOLLI TER","New Haven","CT",""
547,"10 TOLLI TER","New Haven","CT",""
548,"4 TOLLI TER","New Haven","CT",""
549,"503 TOWNSEND AV","New Haven","CT",""
550,"STUYVESANT AV","New Haven","CT",""
551,"21 STUYVESANT AV","New Haven","CT",""
552,"27 STUYVESANT AV","New Haven","CT",""
553,"33 STUYVESANT AV","New Haven","CT",""
554,"41 STUYVESANT AV","New Haven","CT",""
555,"45 STUYVESANT AV","New Haven","CT",""
556,"47 STUYVESANT AV","New Haven","CT",""
557,"53 STUYVESANT AV","New Haven","CT",""
558,"57 STUYVESANT AV","New Haven","CT",""
559,"61 STUYVESANT AV","New Haven","CT",""
560,"65 STUYVESANT AV","New Haven","CT",""
561,"71 STUYVESANT AV","New Haven","CT",""
562,"75 STUYVESANT AV","New Haven","CT",""
563,"87 STUYVESANT AV","New Haven","CT",""
564,"88 HYDE ST","New Haven","CT",""
565,"82 HYDE ST","New Haven","CT",""
566,"74 HYDE ST","New Haven","CT",""
567,"76 GIRARD AV","New Haven","CT",""
568,"70 GIRARD AV","New Haven","CT",""
569,"64 GIRARD AV","New Haven","CT",""
