"pctgood","acres","exval","occupancy","location"
"68","0.21","3200","1","105 HALL ST"
"78","0.33","3700","1","424 FORT HALE RD"
"78","0.16","3700","1","408 FORT HALE RD"
"68","0.16","3200","1","400 FORT HALE RD"
"66","0.16","3100","1","386 FORT HALE RD"
"90","0.19",NA,"1","368 FORT HALE RD"
NA,"0.13",NA,NA,"FORT HALE RD"
"78","0.21","3700","1","350 FORT HALE RD"
"78","0.19","3700","1","340 FORT HALE RD"
"90","0.19","4200","1","330 FORT HALE RD"
"78","0.19","3700","1","320 FORT HALE RD"
"68","0.2","3200","1","306 FORT HALE RD"
"90","0.2","4200","1","294 FORT HALE RD"
"78","0.15","3700","1","280 FORT HALE RD"
"78","0.2","3700","1","270 FORT HALE RD"
"68","0.24","3200","1","260 FORT HALE RD"
"68","0.17","3200","1","581 TOWNSEND AV"
"78","0.42","3700","1","591 TOWNSEND AV"
"78","0.27","3700","1","106 HALL ST"
"90","0.25","4200","1","100 HALL ST"
"78","0.2","3700","1","94 HALL ST"
"68","0.2","3200","1","88 HALL ST"
"68","0.2","3200","1","82 HALL ST"
"78","0.2","3700","1","76 HALL ST"
"78","0.2","3700","1","72 HALL ST"
"78","0.2","3700","1","66 HALL ST"
"78","0.2","3700","1","60 HALL ST"
"78","0.24","3700","1","54 HALL ST"
"78","0.3","3700","1","46 HALL ST"
"78","0.28","3700","1","40 HALL ST"
"78","0.29","3700","1","34 HALL ST"
"78","0.29","3700","1","28 HALL ST"
"68","0.26","3200","1","22 HALL ST"
NA,"0.04",NA,NA,"HALL ST"
"78","0.25","3700","1","8 HALL ST"
"78","0.31","3700","1","621 TOWNSEND AV"
"78","0.97","2700","1","635 TOWNSEND AV"
NA,"0.14",NA,NA,"641 TOWNSEND AV"
"90","0.39","4200","1","49 TOWNSEND TER"
"78","0.28",NA,"1","645 TOWNSEND AV"
"78","0.28","3700","1","655 TOWNSEND AV"
"78","0.23","3700","1","25 TOWNSEND TER"
"78","0.18","3700","1","33 TOWNSEND TER"
"78","0.2","3700","1","37 TOWNSEND TER"
"68","0.15",NA,"1","43 TOWNSEND TER"
NA,"0.03",NA,NA,"TOWNSEND TER"
"68","0.15",NA,"1","51 TOWNSEND TER"
"68","0.15",NA,"1","59 TOWNSEND TER"
"78","0.18",NA,"1","65 TOWNSEND TER"
"78","0.14",NA,"1","71 TOWNSEND TER"
"68","0.12",NA,"1","77 TOWNSEND TER"
"78","0.13",NA,"1","85 TOWNSEND TER"
"78","0.14",NA,"1","91 TOWNSEND TER"
"68","0.16",NA,"1","99 TOWNSEND TER"
"78","0.16",NA,"1","105 TOWNSEND TER"
"68","0.16","3200","1","111 TOWNSEND TER"
"72","0.18","3400","1","220 HYDE ST"
"72","0.17",NA,"1","15 TOLLI TER"
"83","0.17","3900","1","19 TOLLI TER"
"72","0.17","3400","1","27 TOLLI TER"
"83","0.18","3900","1","35 TOLLI TER"
"83","0.25","3900","1","43 TOLLI TER"
"83","0.19","3900","1","59 TOLLI TER"
"83","0.08","3900","1","52 TOLLI TER"
"83","0.17",NA,"1","48 TOLLI TER"
"72","0.17","3400","1","40 TOLLI TER"
"72","0.17","3400","1","30 TOLLI TER"
"72","0.17","3400","1","20 TOLLI TER"
"86","0.17",NA,"1","10 TOLLI TER"
"88","0.17",NA,"1","4 TOLLI TER"
"78","0.17","3700","1","503 TOWNSEND AV"
NA,"0.14",NA,NA,"STUYVESANT AV"
"68","0.14","3200","1","21 STUYVESANT AV"
"78","0.14","3700","1","27 STUYVESANT AV"
"68","0.15",NA,"1","33 STUYVESANT AV"
"68","0.14",NA,"1","41 STUYVESANT AV"
"95","0.14",NA,"1","45 STUYVESANT AV"
